Id;Typ;Namn;Undertyp;Nivå;Säljvärde;Stats;Krav;Effekter;Yrke;Material;Föremål;Mynt;Tid;Handlare;Loot;Kategorier;Beskrivning
67;material;Flytande guld;;-;100;-;-;-;Rustningssmide 4;3 x Elementsav;;0;100;Durin Hammarhjälm;Ajakava, Alfavarg, Bergsrå, Drakpräst, Infernalisk spindel, Rasande grådvärg, Tengu;Vätska;En ovanlig vätska, som både används för att färga föremål eller användas i brygder för sina påstådda magiska egenskaper.
105;material;Trasiga Havssnäcksaxlar;;-;350;-;-;-;;;;;;;Havsrå;;
112;material;Nattskärva;;-;50;-;-;-;;;;;;;Nattvandrare;;
115;material;Svartstoft;;-;50;-;-;-;;;;;;;Yurei;;
70;material;Minnesskärva;;-;1000;-;-;-;Alkemi 2;10 x Minnesfragment;;0;500;;;Unik;Ett mystisk material som tillåter dig att skåda det förflutna genom. Hur den fungerar och varför har ännu inte Stenhems främsta kunnat besvara. Vad som är av större vikt är dock att de främsta smederna, alkemisterna och övriga yrkesmän redan insett att skärvan kan frammana oanade krafter från förr genom att användas i tillverkningsprocessen av allehanda föremål och utrustning.
72;material;Safir;;-;150;-;-;-;;;;;;;Pärlvaran;;
69;material;Minnesfragment;;-;75;-;-;-;;;;;;;Banshee, Bergsgrip, Draug, Dödsmal, Nattvandrare, Rasande grådvärg, Ung fornjätte, Yurei;Unik;Kan vid första anblick likna en bit splittrat spegelglas, men vid närmare granskning är det inte din egen spegelbild du möter. Istället skymtas en gången tid om än diffus och svår att tyda.Ryktet säger att flertalet av dessa fragment kan  bilda en klarare bild av tidigare historier och nyttjas för att frammana krafter från förr.
58;material;Svart valnöt;;-;100;-;-;-;Rustningssmide 4;3 x Ekträ;;0;100;Durin Hammarhjälm;Dominant vuxet sto, Ent, Fullvuxen Silverbjörn, Förvuxen Ent, Mancinellaent, Massiv skalbagge, Skogsrå, Stengolem, Totemtroll, Uråldrig ek, Vildvittra;Trä;Svart valnöt tillhör ett av de ovanligare träden runt Stenhem. Träslaget är däremot oslagbart i hållbarhet och eftertraktat av både de som bygger hus eller tillverkar vapen.
140;material;Rasfragment;;-;;-;-;-;;;;;;;;;Ett till synes enkelt fragment. En spricka ur någonting större.Oklart vad helheten ska föreställa.
49;material;En morbrors arv;;-;3;-;-;-;;;;;;;;Unik;Det är helt omöjligt att tyda handstilen, uppenbarligen är brevet skrivet i ett tillstånd av mycket stor förvirring. Pergamentet går i alla fall säkert att sälja för något silvermynt.
40;material;Eryfias tårar;;-;500;-;-;-;;;;;;;;Unik;"Insamlade på högst omoraliskt vis i en liten oansenlig flaska med något slags kork, och sedan sålda utan skrupler på marknaden där dessa tårar kan ge oanade alviska förmågor om de förtärs eller om man doppar sytråden i tårarna när man syr ett plagg som bärs nära kroppen.Tårarnas styrka och kraft avgörs av hur sorgsen alven var när de togs; förlusten av ett barn sägs ge de mest potenta tårarna och ryktet gör gällande att orkbandet Zi kafak, Svarta dödskallen, har gjort mycket goda förtjänster på att leta rätt på nyblivna alvmödrar..."
35;material;Goblinsk svartsopp;;-;250;-;-;-;;;;;;;Goblinsk jägare;Unik;Doftlös för alla utom ett fåtal, men för den som har utvecklat eller fötts med förmågan att känna doften av svartsoppen finns det ingen starkare lukt. Genom skog och mark, över bäckar och floder, färdas lukten många fjärdingsväg för att till slut nå näsan hos en lyckligt lottad själ som kan bege sig ut för att finna den.Svampens yttre är vardagligt, med svartbrun hatt och benvit undersida och fot, men den är delikat särskilt i soppor och kan användas för att brygga tinkturer och mixturer som i bästa fall kan ge en liten skjuts i rätt riktning för den kämpaglade.
145;material;Glorifierat läder;;-;;-;-;-;;;;;;;;;Ett enkelt men glorifierat läder.
120;material;Östländskt drakstoft;;-;;-;-;-;;;;;;Kajsa Fjärdingsväg;;;
121;material;Botefragment;;-;200;-;-;-;;;;;;;;;Vägen till försoning är både lång och farlig och kan endast uppnås genom att samla på sig ett antal botefragment.
113;material;Svarta tårar;;-;50;-;-;-;;;;;;;Banshee;;
125;material;Gyllene drakägg;;-;200;-;-;-;;;;;;;Gyllene Drake, Gyllene Drakorm, Gyllene Lindorm;;Ett gyllene drakägg som sägs ha magiska krafter.
95;material;Excellent vulkansten;;-;300;-;-;-;;;;;;;;;En vacker och mycket hård sten av härdad magma.
127;material;Stort gyllene drakägg;;-;200;-;-;-;;;;;;;Gyllene Drake;;I jämförelse med de gyllene drakkägg som setts i stenhem är detta betydligt större. De gyllene drakäggen säga ha magiska krafter.
101;material;Gul tulpan;;-;;-;-;-;;;;;;;;;
100;material;Blå tulpan;;-;;-;-;-;;;;;;;;;
99;material;Röd tulpan;;-;;-;-;-;;;;;;;;;
128;material;Palladium;;-;;-;-;-;;;;;;;;;
141;material;Kaptenstyg;;-;;-;-;-;;;;;;;;;Kaptenstyg är ett tungt, slitstarkt tyg broderat med silver och guldtråd, buret av vissa befäl inom stadsvaktens övre skifte. Det står emot både väder och slitage, och enligt andra rykten kan man med tillräckligt mycket av det, smida en Kaptensbindel eller en Besättningsbindel.
146;material;Inklinors signatur;;-;;-;-;-;;;;;;;;;I de tidiga dagarna av Stenhem vandrade en man vid namn Inklinor genom staden. Han var inte en krigare i kroppen, men hans själ bar samma tyngd som en gladiators svärd. Inklinor hade en gåva - hans namn, ristad med egen hand, hade kraften att öppna portar, skapa förtroende och inge respekt bland både mästare och de kämpande i sanden.Det kallades för hans signatur. Inte bara ett namn skrivet på pergament, utan ett märke, ett sigill som bar hela hans auktoritet.
143;material;Kaptensbindel;;-;;-;-;-;;;;;;;;;Ett armband smitt från det finaste kaptenstyget i Stenhem. En symbol för ledarskap och strategi.
123;material;Kraftfullt runfragment;;-;200;-;-;-;;;;;;;;;Kraftfullt runfragment har inga problem med att hämta kraft från Vulkanön dock är de näst intill omöjliga att kontrollera. Frisläppta runfragment kan orsaka stor skada på omgivningen. Ingen vet ännu vad denna kraft kan fördärva.
98;material;Vit tulpan;;-;;-;-;-;;;;;;;;;
122;material;Försvagat runfragment;;-;100;-;-;-;;;;;;;;;Försvagade runfragment kommer bara åt en bråkdel av dess potential. Det är den långa distansen från Vulkanön som gör de latenta. Med rätt förutsättningar finns det en möjlighet att kanalisera kraften.
111;material;Dödens vingar;;-;50;-;-;-;;;;;;;Dödsmal;;
149;material;Drakprinsens fjäll;;-;800;-;-;-;;;;;;;Drakprins;Drakdel;Ett fjäll från en drakprins.
150;material;Trasig Ceremoniell tunika;;-;350;-;-;-;;;;;;;Tengu;;
153;material;Svartskinn;;-;;-;-;-;;;;;;;;;Svartskinn är ett ovanligt och kusligt garvat läder, framställt genom förbjudna ritualer som få vågar tala om. Materialet bär på en mörk kraft och används uteslutande vid skapandet av förbjudna föremål, vars existens ofta är lika fruktad som eftertraktad.
159;material;Vattenessens;;-;;-;-;-;;;;;;;;;En följsam kraft som bär på vattnets smidighet och rörelse.
164;material;Jordfragment;;-;;-;-;-;;;;;;;;;Ett hårt fragment som fortfarande bär på en del av jordens kraft.
162;material;Luftfragment;;-;;-;-;-;;;;;;;;;Ett lätt fragment som bär på en svag del av luftens kraft.
160;material;Vattenfragment;;-;;-;-;-;;;;;;;;;Ett svalt fragment som bär på en svag del av vattnets kraft.
158;material;Eldfragment;;-;;-;-;-;;;;;;;;;Ett varmt fragment som fortfarande bär på en del av eldens kraft.
24;weapon;Värja;Sword;1-19;30;Skada 3-8 · Krit 9 + (1% till 5%) · Kritchans 0-5% · Hållbarhet 39 · Block/runda 2 · Dual · Vikt 3 · Ench 1;35 Styrka, 75 Svärd (rek);+1% Perfekt träff, +4 Initiativstyrka;Vapensmide 1;1 x Granträ, 2 x Järn;;0;330;;;;Värjan är ett udda svärd, eftersom det egentligen mer liknar ett stickvapen än ett huggvapen. Dess klinga liknar en lång, tunn stav vars spets är slipad och vass som en nål för att kunna penetrera både hud, läder och rustningar.
224;weapon;Enkelt svartspjut;Spear;1-19;42;Skada 4-10 · Krit 11 + (1% till 5%) · Kritchans 0-4% · Hållbarhet 24 · Block/runda 2 · Dual · Vikt 6 · Ench 1;Kräver att du är av rasen ork, Kräver att du är av rasen troll, Kräver att du är av rasen goblin, 35 Styrka, 50 Stickvapen (rek);+6 Uthållighet;;;;;;;;;Där alvsmederna lägger stor vikt vid form satsar svartbloden istället på funktion. Detta spjut är ett ypperligt exempel på det, då det inte är vackert att titta på men mycket robust konstruerat.
764;weapon;Eremitstav;Stave;1-19;50;Skada 6-7 · Krit 8 + (10% till 10%) · Kritchans 0-7% · Hållbarhet 38 · Block/runda 2 · 2H · Vikt 4 · Ench 2;35 Styrka, 40 Stavar (rek);-;Vapensmide 1;2 x Granträ;;0;350;;;;En vandringsstav gjord av någon form av ekträ, förstärkt med järnbitar på väl utvalda ställen.
15;weapon;Sjusvansad piska;Chain;1-19;15;Skada 5-8 · Krit 9 + (45% till 90%) · Kritchans 0-11% · Hållbarhet 23 · Block/runda 2 · Dual · Vikt 3 · Ench 1;35 Styrka, 80 Kättingvapen (rek);+4% Perfekt träff;;;;;;;;;Denna piska har, som namnet antyder, sju svansar. Det gör att den slår hårdare än en vanlig piska men också är lite svårare att använda. Då och då ser man en novis med en sjusvansad piska trassla in sig själv helt i sitt vapen, vilket ofta uppskattas av publiken som kan skratta åt spektaklet.
191;weapon;Högalviskt kortsvärd;Sword;1-19;85;Skada 5-6 · Krit 7 + (1% till 5%) · Kritchans 0-4% · Hållbarhet 45 · Block/runda 2 · Dual · Vikt 3 · Ench 1;Kräver att du är av rasen alv, 25 Styrka, 55 Svärd (rek);+2% Perfekt träff, +5 svärd, +5 Undvika anfall;;;;;;;;;Högalvernas variant på det populära kortsvärdet. Deras skicklighet i smideskonsten gör det här svärdet ovanligt skarpt.
1151;weapon;Glödstav;Stave;1+;750;Skada 1 · Krit 2 + (1% till 5%) · Hållbarhet 1 · Block/runda 2 · Ench 1;70 Stavar (rek);-;;;;;;;;;Staven representerar Strykavs väg. Glöden i kärnan symboliserar den inre eld som ibland falnar men aldrig helt slocknar.
499;weapon;Flagellant piska;Chain;1-19;67;Skada 3-11 · Krit 12 + (40% till 65%) · Kritchans 0-9% · Hållbarhet 22 · Block/runda 2 · Dual · Vikt 2 · Ench 1;Kräver att du har bedriften Sjukling, 50 Styrka, 75 Kättingvapen (rek);+3% Perfekt träff, +10 kättingvapen, -10 Bashälsa, -5 Uthållighet, +10 Initiativstyrka;;;;;;;;;Piska som i första hand används i olika religiösa sammanhang för självflagellation i andra delar av världen.Både vapnet och självflagellationen har hittat till den blodiga sanden och ses som moralhöjande främst bland svartblod. För att bruka vapnet krävs dock en martyr i alla dess bemärkelser.
34;weapon;Klyvyxa;Axe;1-19;40;Skada 3-11 · Krit 12 + (20% till 30%) · Kritchans 0-8% · Hållbarhet 30 · Block/runda 2 · Dual · Vikt 7 · Ench 1;45 Styrka, 70 Yxor (rek);+5 Styrka;;;;;;;;;Trästockar, läderjackor eller onkhhuvuden.Lägg det framför Klyvyxan och det kommer delas i två.
438;weapon;Skärppiska;Chain;1-19;34;Skada 6-9 · Krit 10 + (35% till 70%) · Kritchans 0-7% · Hållbarhet 19 · Block/runda 2 · Dual · Vikt 4 · Ench 1;40 Styrka, 70 Kättingvapen (rek);+2% Perfekt träff, +5 Uthållighet;Vapensmide 1;1 x Järn, 1 x Päls;;0;310;;;;En enkel piska gjord av ett gammalt skärp fäst i ett handtag. Enkelt, men effektivt.
906;weapon;Enkel slaga;Chain;1-19;7;Skada 2-6 · Krit 7 + (20% till 50%) · Kritchans 0-4% · Hållbarhet 17 · Block/runda 2 · Vikt 5 · Ench 1;70 Styrka, 35 Kättingvapen (rek);+2% Perfekt träff;;;;;;;;;Vanligen används detta redskap för att slå högt gräs vid skörd. Men den fungerar också som ett enklare vapen för den nyblivna gladiatorn.
124;weapon;Tvåhandsslaga;Chain;1-19;50;Skada 4-21 · Krit 22 + (5% till 15%) · Kritchans 0-7% · Hållbarhet 40 · Block/runda 2 · 2H · Vikt 21 · Ench 2;85 Styrka, 60 Kättingvapen (rek);+5 Initiativstyrka;Vapensmide 1;1 x Granträ, 2 x Järn;;0;450;;;;En stor, tung och rostig järnkula, sammanlänkad med en likväl tung och rostig kedja som fästs vid en trästav. Vapnet har sett bättre dagar och är illa omhändertaget. Kan dock fortfarande utan problem åsamka stor skada.
33;weapon;Bredyxa;Axe;1-19;30;Skada 4-7 · Krit 8 + (20% till 30%) · Kritchans 0-5% · Hållbarhet 39 · Block/runda 2 · Dual · Vikt 8 · Ench 1;25 Styrka, 65 Yxor (rek);+1% Perfekt träff, +5 yxor;Vapensmide 1;1 x Granträ, 1 x Järn;;0;275;;;;"Yxan är jämte klubban och spjutet, ett av människans allra äldsta vapen. Så småningom började man utveckla särskilda yxor för att enbart nyttja som vapen, även om ""vanliga"" yxor också ibland fick tjäna samma syfte. En yxa som särskilt framställdes för vapenbruk är den så kallade bredyxan.Bredyxan är ett dagligt inslag när du besöker Arenan."
144;weapon;Vandringsstav;Stave;1-19;30;Skada 2-8 · Krit 9 + (10% till 10%) · Kritchans 0-7% · Hållbarhet 28 · Block/runda 2 · 2H · Vikt 7 · Ench 2;55 Styrka, 35 Stavar (rek);-;;;;;;;;;En simpel vandringsstav gjord av någon form av ekträ. Fungerar utmärkt att använda med enbart en hand när man är ute på promenad.
1;weapon;Handyxa;Axe;1-19;13;Skada 2-5 · Krit 6 + (0% till 0%) · Kritchans 0-6% · Hållbarhet 21 · Block/runda 2 · Dual · Vikt 3 · Ench 1;20 Styrka, 50 Yxor (rek);+3% Perfekt träff, +3 yxor, +3 Undvika anfall;;;;;;;;;En simpel yxa, massproducerad i stadens smedjor. Skaftet är oftast ek men det finns även att hitta i al och björk.
14;weapon;Stridsslaga;Chain;1-19;24;Skada 5-9 · Krit 10 + (20% till 50%) · Kritchans 0-4% · Hållbarhet 26 · Block/runda 2 · Vikt 9 · Ench 1;75 Styrka, 60 Kättingvapen (rek);+2% Perfekt träff, +5 kättingvapen;Vapensmide 1;2 x Granträ, 2 x Järn;;0;375;;;;Huvudet på detta vapen är av trä med två taggförsedda järnringar som omsluter den yttre, ledade delen. Slagan kan svingas med stor kraft och orsaka förödande skador, även på bepansrade mål. Stridsslagans design är hämtad från jordbruksverktyget med samma namn, som används till att tröska med. Den visade sig dock snabbt fungera lika bra på slagfältet.
7;weapon;Spikklubba;Mace;1-19;24;Skada 4-6 · Krit 7 + (10% till 10%) · Kritchans 0-1% · Hållbarhet 27 · Block/runda 2 · Dual · Vikt 8 · Ench 1;40 Styrka, 25 Hammare (rek);-;;;;;;;;;Detta vapen är mycket likt klubban, skillnaden är dock att dess topp är försedd med ett varierande antal spikar i olika storlekar. Dess spikförsedda huvud gör den till ett aningen mer dödligt vapen än klubban. Ett utmärkt vapen för den fattige novisen.
31;weapon;Enkel piska;Chain;1-19;12;Skada 2-5 · Krit 6 + (40% till 80%) · Kritchans 0-8% · Hållbarhet 14 · Block/runda 2 · Dual · Vikt 1 · Ench 1;15 Styrka, 55 Kättingvapen (rek);+4% Perfekt träff, +5 kättingvapen;;;;;;;;;Ofta ser man denna typen av piska vid utdelade straff på torgen i staden.
101;shield;Gammal björnsköld;Shield;1-19;40;Absorption 12 · Kritchans 0-2% · Hållbarhet 16 · Block/runda 2 · Vikt 9 · Ench 1;90 Styrka, 25 Sköldar (rek);+3 Styrka;;;;;;;;;
437;weapon;Obalanserat träspjut;Spear;1-19;3;Skada 1-4 · Krit 5 + (1% till 5%) · Kritchans 0-3% · Hållbarhet 14 · Block/runda 2 · Dual · Vikt 5 · Ench 1;25 Styrka, 40 Stickvapen (rek);+2 stickvapen;;;;;;;;;Ett enkelt träspjut med täljd spets. Väldigt lätt, men något ostadigt.
283;weapon;Svartskogsyxa;Axe;1-19;80;Skada 4-11 · Krit 12 + (20% till 30%) · Kritchans 0-5% · Hållbarhet 31 · Block/runda 2 · Dual · Vikt 8 · Ench 1;Kräver att du är av rasen ork, Kräver att du är av rasen troll, Kräver att du är av rasen goblin, 65 Styrka, 60 Yxor (rek);+1% Perfekt träff, +5 Styrka;;;;;;;;;Från början en vanlig stridsyxa upplockad från liket på ett ynkligt rödblod som vågat sig in i svartskogen.  I händerna på ett svartblod har yxan smidits om över svartrökiga eldar djupt inne i skogen.
583;weapon;Slaktyxa;Axe;1-19;21;Skada 7-14 · Krit 15 + (5% till 5%) · Kritchans 0-7% · Hållbarhet 55 · Block/runda 2 · 2H · Vikt 14 · Ench 2;60 Styrka, 50 Yxor (rek);+5 yxor;;;;;;;;;En välanvänd slaktyxa av det större slaget, kräver ett tvåhandsgrepp och är dessvärre i ett sämre skick.
69;weapon;Lans;Spear;1-19;40;Skada 12-14 · Krit 15 + (1% till 5%) · Kritchans 0-7% · Hållbarhet 55 · Block/runda 2 · 2H · Vikt 6 · Ench 2;45 Styrka, 65 Stickvapen (rek);+10 Initiativstyrka;Vapensmide 1;2 x Granträ, 1 x Järn;;0;475;;;;Lansen är ett otympligt vapen som icke desto mindre kan vara väldigt effektivt om man lär sig använda den på rätt sätt. Det är relativt sällsynt att se gladiatorer i arenan nyttja dessa då de flesta vänder sig till vapen som är lättare att använda.
530;weapon;Generalens tvåhandshammare;Mace;1-19;;Skada 15-60 · Krit 61 + (1% till 5%) · Kritchans 0-7% · Hållbarhet 300 · Block/runda 2 · 2H · Vikt 19 · Ench 2;100 Styrka, 100 Hammare (rek);+10 hammare, +10 Initiativstyrka, +10 Ledarskap;;;;;;;;;Dug Durbuls massiva hammare endast tidigare använd för att slåss mot Kejsarens och hans anhängare, nu i bruk för Kejsaren och hans anhängare underhållning.
123;weapon;Tvåhövdat stridsgissel;Chain;1-19;40;Skada 4-12 · Krit 13 + (20% till 45%) · Kritchans 0-5% · Hållbarhet 28 · Block/runda 2 · Vikt 9 · Ench 1;100 Styrka, 50 Kättingvapen (rek);-5 Uthållighet;;;;;;;;;Det är vanligt att gladiatornoviser i början på sina karriärer inte har mycket stridsvana, utan mest förlitar sig på sin egen fysik. Några av de starkaste väljer då detta vapen som sin utgångspunkt i arenans sand. Det är en solid strategi, för om man ändå inte kan vara säker på att träffa motståndaren varje gång kan man lika gärna se till att när man träffar, då märks det.
841;weapon;Förbannat gissel;Chain;1-19;500;Skada 0-1 · Krit 2 + (1% till 5%) · Kritchans 0-7% · Hållbarhet 1 · Block/runda 2 · 2H · Vikt 50 · Ench 2;-;-;;;;;;;;;En kedja med rostiga länkar.
1016;shield;Barksköld;Shield;1-19;40;Absorption 10 · Kritchans 0-2% · Hållbarhet 21 · Block/runda 2 · Vikt 1 · Ench 1;30 Styrka, 45 Sköldar (rek);+2 sköldar, +2 Undvika anfall;;;;;;;;;
1018;shield;Sandsköld;Shield;1-19;35;Absorption 11 · Kritchans 0-3% · Hållbarhet 25 · Block/runda 1 · Vikt 4 · Ench 1;60 Styrka, 30 Sköldar (rek);+3 sköldar;Vapensmide 1;1 x Granträ, 1 x Järn;;0;300;;;;
17;weapon;Bergshammare;Mace;1-19;50;Skada 7-9 · Krit 10 + (10% till 10%) · Kritchans 0-1% · Hållbarhet 42 · Block/runda 2 · Dual · Vikt 11 · Ench 1;55 Styrka, 50 Hammare (rek);+4 Uthållighet;Vapensmide 1;2 x Granträ, 1 x Järn;;0;275;;;;En enkel men effektiv hammare som används flitigt i Gruvorna, både som vapen och verktyg. Få tillhyggen är lika tillförlitliga som en kompetent tillverkad hammare.
70;weapon;Jaktspjut;Spear;1-19;50;Skada 3-9 · Krit 10 + (1% till 5%) · Kritchans 0-7% · Hållbarhet 25 · Block/runda 2 · Dual · Vikt 4 · Ench 1;30 Styrka, 65 Stickvapen (rek);+3% Perfekt träff, +8 Initiativstyrka;Vapensmide 1;2 x Granträ, 1 x Järn;;0;350;;;;Sedan spjutet uppfanns har det använts till jakt, och det är förstås också ett solitt vapenval för en gladiator som valt att använda stickvapen. En mycket vanlig syn i händerna på en novisgladiator.
516;weapon;Entklubba;Mace;1+;;Skada 1-65 · Krit 66 + (1% till 5%) · Kritchans 0-7% · Hållbarhet 60 · Block/runda 2 · 2H · Vikt 50 · Ench 2;Kräver att du har bedriften En respektabel träff, 300 Styrka, 185 Hammare (rek);-;Vapensmide 5;2 x Entträ, 4 x Järn;;0;3500;;;;Få varelser är så vackra och sällsynta som de uråldriga enter som kan hittas i de djupaste och äldsta skogar.En klubba som är tillverkade av inte en, utan två av dessa varelser är något av det mest enorma som skådats i mannaminne, och också bland de mest sorgsna när den ständigt påminner om de liv som berövats för att tillåta denna skapelse.
23;weapon;Jaktyxa;Axe;1-19;18;Skada 2-6 · Krit 7 + (20% till 30%) · Kritchans 0-6% · Hållbarhet 25 · Block/runda 2 · Dual · Vikt 5 · Ench 1;30 Styrka, 40 Yxor (rek);+2% Perfekt träff;;;;;;;;;Jaktyxan går under många namn. Klyvaren av harar, rävslaktaren, ung tigerbane, bara för att nämna några få…
20;weapon;Kroksabel;Sword;1-19;20;Skada 3-5 · Krit 6 + (1% till 5%) · Kritchans 0-3% · Hållbarhet 40 · Block/runda 2 · Dual · Vikt 4 · Ench 1;30 Styrka, 55 Svärd (rek);+1% Perfekt träff;;;;;;;;;Vapnet anses vara av orientaliskt ursprung och har använts av både fotfolk och ryttare. Kroksabeln är ett huggvapen, från början med krökt, oftast eneggad klinga och asymmetriskt fäste.Flera sabelmodeller är utvecklade med en skålformig parerplåt som sitter stadigt vid fästet.Ett perfekt vapen för gladiatorer som vill ta nästa steg på arenan.
256;weapon;Alviskt träningssvärd;Sword;1-19;45;Skada 10-12 · Krit 13 + (1% till 5%) · Kritchans 0-7% · Hållbarhet 55 · Block/runda 2 · 2H · Vikt 8 · Ench 2;Kräver att du är av rasen alv, 40 Styrka, 50 Svärd (rek);+10 svärd, +10 Undvika anfall;;;;;;;;;Ett första träningssvärd i trä många alver börjar med. Lätt och smidigt men fortfarande farligt i rätt händer.
